"spp.code","site","band.pre","band.suf","colors","age","sex","date","wing","tarsus","mass","fat","pec","notes","year","year.num","beak","date2","site.age.init","site.age","band","status.focals","spp","status2","hab1","diet"
"AMKE","La Cueva","6A","22","X-","AHY","F","9-Jan-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-01-09,2,5,"6A-22",NA,"American Kestrel","R","SF","C"
"AMKE","Morelia","6A","23","X-","AHY","M","25-Feb-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-02-25,10,13,"6A-23",NA,"American Kestrel","R","SF","C"
"AMRE","La Cueva","2240","21573","YX-YY","HY","M","4-Jan-05",60.5,17,7.2,"1",1,NA,"2004-2005",2004,NA,2005-01-04,2,3,"2240-21573","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21522","WX-YB","AHY","F","11-Nov-03",59.5,16.9,7.5,"0",0,NA,"2003-2004",2003,NA,2003-11-11,5,5,"2240-21522","mig","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21841","RY-XR","AHY","F","17-Jan-05",59,17.1,7.5,"1",0,NA,"2004-2005",2004,NA,2005-01-17,20,21,"2240-21841","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21591","YX-BW","HY",NA,"12-Nov-04",59.5,17.3,7.3,"1",0,NA,"2004-2005",2004,NA,2004-11-12,5,6,"2240-21591","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21822","RR-XR","AHY","F","12-Dec-05",NA,NA,NA,NA,NA,"x","2005-2006",2005,NA,2005-12-12,2,4,"2240-21822","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21509","X-W","AHY","F","10-Nov-03",56.5,17,7.2,"1",1,NA,"2003-2004",2003,NA,2003-11-10,2,2,"2240-21509","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21546","XR-RR","SY","F","13-Dec-05",NA,NA,NA,NA,NA,"x","2005-2006",2005,NA,2005-12-13,2,4,"2240-21546","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21995","X-","HY","F","10-Jan-08",NA,NA,NA,NA,NA,NA,"2007-2008",2007,NA,2008-01-10,5,9,"2240-21995","mig","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21906","XB-RB","AHY","M","26-Dec-05",NA,NA,NA,NA,NA,"x","2005-2006",2005,NA,2005-12-26,20,22,"2240-21906","mig","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21942","YX-WB","HY","M","28-Nov-06",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2006-11-28,10,13,"2240-21942","mig","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21896","YR-XR","AHY","F","25-Nov-05",NA,NA,NA,NA,NA,"x","2005-2006",2005,NA,2005-11-25,20,22,"2240-21896","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21515","YW-BX","AHY","F","11-Nov-03",NA,NA,NA,NA,NA,NA,"2003-2004",2003,NA,2003-11-11,5,5,"2240-21515","mig","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21842","WX-BW","AHY","F","18-Jan-05",59,16.7,7.1,"1",0,NA,"2004-2005",2004,NA,2005-01-18,20,21,"2240-21842","mig","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21821","XW-BY","AHY","M","20-Feb-05",61.5,15.8,6.6,"0",0,NA,"2004-2005",2004,NA,2005-02-20,20,21,"2240-21821","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21513","BY-XW","AHY","F","6-Jan-04",60,17.4,7,"0",1,NA,"2003-2004",2003,NA,2004-01-06,5,5,"2240-21513","mig","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21843","WX-BY","HY",NA,"20-Jan-05",58.5,17.4,6.9,"0",1,NA,"2004-2005",2004,NA,2005-01-20,20,21,"2240-21843","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21591","YX-BW","AHY","F","19-Feb-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-02-19,5,8,"2240-21591","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21874","RB-XR","HY","F","11-Nov-05",NA,NA,NA,NA,NA,"x","2005-2006",2005,NA,2005-11-11,2,4,"2240-21874","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21522","WX-YB","SY","F","13-Nov-04",61,16.9,6.8,"0",0,NA,"2004-2005",2004,NA,2004-11-13,5,6,"2240-21522","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21573","YX-YY","HY","M","9-Nov-04",60.5,17,7.4,"1",2,NA,"2004-2005",2004,NA,2004-11-09,2,3,"2240-21573","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21546","XR-RR","AHY","F","11-Nov-04",60,17.4,7,"0",1,NA,"2004-2005",2004,NA,2004-11-11,2,3,"2240-21546","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21926","RB-XY","HY","F","8-Jan-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-01-08,2,5,"2240-21926","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21579","BY-BX","AHY","F","10-Nov-04",60,17.4,6.2,"0",0,NA,"2004-2005",2004,NA,2004-11-10,2,3,"2240-21579","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21832","XB-BW","HY","F","9-Jan-05",56,16.4,6.5,"0",0,NA,"2004-2005",2004,NA,2005-01-09,5,6,"2240-21832","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21584","XB-RY","HY","F","11-Nov-04",60,17,6.9,"0",1,NA,"2004-2005",2004,NA,2004-11-11,2,3,"2240-21584","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21591","YX-BW","AHY","F","17-Dec-05",NA,NA,NA,NA,NA,"x","2005-2006",2005,NA,2005-12-17,5,7,"2240-21591","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21930","BX-BR","AHY","F","12-Jan-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-01-12,5,8,"2240-21930","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21571","WW-XR","HY","F","6-Jan-05",64,16,6.9,"0",1,NA,"2004-2005",2004,NA,2005-01-06,2,3,"2240-21571","mig","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21944","YX-WY","HY","F","3-Dec-06",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2006-12-03,20,23,"2240-21944","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21929","YX-BR","AHY","F","10-Jan-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-01-10,2,5,"2240-21929","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21536","BW-XY","AHY","F","11-Feb-05",59.5,16.8,6.4,"0",0,NA,"2004-2005",2004,NA,2005-02-11,5,6,"2240-21536","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21599","XR-BY","HY","F","11-Jan-05",59.5,17.3,6.6,"0",0,NA,"2004-2005",2004,NA,2005-01-11,5,6,"2240-21599","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21546","XR-RR","HY","F","5-Jan-04",58,17.2,7,"0",1,NA,"2003-2004",2003,NA,2004-01-05,2,2,"2240-21546","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21512","X-B","AHY","M","10-Nov-03",63,19.2,7.4,"0",0,NA,"2003-2004",2003,NA,2003-11-10,2,2,"2240-21512","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21522","WX-YB","AHY","F","16-Jan-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-01-16,5,8,"2240-21522","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21870","RY-XY","HY","F","14-Dec-05",NA,NA,NA,NA,NA,"x","2005-2006",2005,NA,2005-12-14,2,4,"2240-21870","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21974","X-","HY",NA,"7-Nov-07",NA,NA,NA,NA,NA,NA,"2007-2008",2007,NA,2007-11-07,2,6,"2240-21974","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21967","RX-YR","AHY","F","13-Jan-08",NA,NA,NA,NA,NA,NA,"2007-2008",2007,NA,2008-01-13,5,9,"2240-21967","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21830","XY-WW","HY","M","8-Jan-05",61,16.8,6.5,"0",0,NA,"2004-2005",2004,NA,2005-01-08,5,6,"2240-21830","mig","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21554","XR-YB","AHY","F","10-Jan-04",59.5,17.5,7.4,"1",0,NA,"2003-2004",2003,NA,2004-01-10,20,20,"2240-21554","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21938","XY-YB","HY",NA,"20-Feb-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-02-20,5,8,"2240-21938","mig","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21893","RW-XY","AHY","F","15-Nov-07",NA,NA,NA,NA,NA,NA,"2007-2008",2007,NA,2007-11-15,10,14,"2240-21893","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21824","XR-YR","HY","M","5-Jan-05",61.5,17,6.5,"0",0,NA,"2004-2005",2004,NA,2005-01-05,2,3,"2240-21824","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21572","WW-XY","HY","F","6-Jan-05",61,16.8,6.8,"0",0,NA,"2004-2005",2004,NA,2005-01-06,2,3,"2240-21572","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21816","XY-YW","HY","F","6-Jan-05",62,17.1,6.5,"0",0,NA,"2004-2005",2004,NA,2005-01-06,2,3,"2240-21816","mig","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21816","XY-YW","HY",NA,"20-Nov-04",62,16.9,7.5,"1",1,NA,"2004-2005",2004,NA,2004-11-20,20,21,"2240-21816","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21929","YX-BR","AHY","F","24-Nov-06",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2006-11-24,2,5,"2240-21929","mig","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21565","XY-YY","AHY",NA,"26-Feb-04",61,15.9,7.4,"2",2,NA,"2003-2004",2003,NA,2004-02-26,20,20,"2240-21565","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21513","BY-XW","AHY","F","12-Jan-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-01-12,2,5,"2240-21513","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21599","XR-BY","HY","F","14-Nov-04",59.5,17.3,6.8,"0",0,NA,"2004-2005",2004,NA,2004-11-14,5,6,"2240-21599","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21528","XB-WW","AHY","F","12-Nov-03",60.5,16.8,6.8,"0",0,NA,"2003-2004",2003,NA,2003-11-12,5,5,"2240-21528","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21994","X-","AHY","F","9-Jan-08",NA,NA,NA,NA,NA,NA,"2007-2008",2007,NA,2008-01-09,5,9,"2240-21994","mig","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21957","XW-WR","HY","M","23-Jan-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-01-23,20,23,"2240-21957","mig","American Redstart","M","EF","I"
