"","spp.code","La Cueva","La Caoba","Morelia","El Corral","Aceitillar"
"1","AMKE",1,0,1,0,0
"2","AMRE",49,54,26,18,37
"3","ANPI",0,3,2,1,4
"4","BANA",121,90,55,22,104
"5","BAWW",7,7,14,23,59
"6","BCPT",68,60,59,70,137
"7","BFGR",26,41,12,8,2
"8","BLGR",0,0,1,0,0
"9","BLPW",0,1,0,0,0
"10","BTBW",59,59,68,55,39
"11","BUOW",0,0,2,0,0
"12","BWVI",14,2,5,0,14
"13","BWWA",1,0,0,0,0
"14","CMWA",90,173,42,15,84
"15","COGD",0,0,0,0,6
"16","COYE",19,110,24,0,1
"17","GABU",102,128,78,56,366
"18","GRAK",12,2,2,1,0
"19","GRCA",0,2,0,0,0
"20","GTGT",30,59,19,40,106
"21","HILC",16,15,16,27,10
"22","HIPE",1,0,0,1,18
"23","HISP",16,15,5,0,0
"24","HITR",0,0,1,0,0
"25","HIWO",1,0,0,0,0
"26","HOWA",0,1,0,0,1
"27","INBU",1,2,0,0,0
"28","KWQD",1,0,0,13,4
"29","LOWA",0,1,0,0,0
"30","MACU",6,9,6,3,0
"31","MAWA",5,1,4,3,2
"32","NOMO",31,34,20,19,3
"33","NOPA",2,2,3,0,2
"34","NOPO",1,0,0,0,0
"35","OVEN",79,85,141,103,113
"36","PALM",3,3,4,0,0
"37","PAWA",23,13,3,3,1
"38","PRAW",27,37,11,1,3
"39","RBGR",0,0,0,0,3
"40","RLTH",56,58,22,18,65
"41","RTSO",4,4,1,0,0
"42","RUQD",1,2,2,0,0
"43","SBAN",2,5,1,0,0
"44","SBMU",1,0,0,0,0
"45","SSHA",1,0,0,2,1
"46","STOF",23,9,21,17,44
"47","SUTA",0,1,0,0,0
"48","TEWA",0,0,1,0,0
"49","WFQD",2,0,2,0,0
"50","WOTH",0,0,0,0,1
"51","YBCU",0,0,1,0,0
"52","YFGR",175,114,61,54,3
"53","YRWA",0,1,0,0,0
"54","ZEND",0,0,0,0,2
