"","spp","stat","El Corral","La Caoba","La Cueva","Morelia"
"1","AMRE","mig",18,32,41,23
"2","BANA","res",22,77,113,48
"3","BAWW","mig",18,5,7,12
"4","BCPT","res",47,38,54,44
"5","BFGR","res",8,33,24,12
"6","BTBW","mig",44,38,44,48
"7","CMWA","mig",15,144,82,37
"8","COYE","mig",0,71,15,21
"9","GABU","res",43,82,74,67
"10","GRWA","res",30,37,28,13
"11","HLCU","res",20,10,11,13
"12","NOMO","res",16,31,24,18
"13","OVEN","mig",72,55,53,98
"14","PAWA","mig",3,12,20,3
"15","PRAW","mig",1,28,25,10
"16","RLTH","res",15,41,42,18
"17","STOF","res",16,9,18,21
"18","YFGR","res",52,97,150,57
