"spp.code","status2","La.Cueva.N","La.Cueva.M","La.Cueva.AHY","La.Caoba.N","La.Caoba.M","La.Caoba.AHY","Morelia.N","Morelia.M","Morelia.AHY","El.Corral.N","El.Corral.M","El.Corral.AHY"
"OVEN","M",82,"","0.56 (82)",82,"0 (1)","0.48 (82)",141,"0 (4)","0.5 (141)",103,"","0.41 (0)"
"BAWW","M",7,"0.43 (7)","0.71 (7)",7,"0.43 (7)","0.43 (7)",14,"0.36 (14)","0.21 (14)",23,"0.26 (23)","0.39 (23)"
"COYE","M",22,"0.62 (21)","0.55 (22)",106,"0.58 (103)","0.58 (106)",25,"0.44 (25)","0.6 (25)",0,"",""
"AMRE","M",54,"0.22 (46)","0.69 (54)",48,"0.2 (41)","0.46 (48)",28,"0.22 (18)","0.75 (28)",17,"0.36 (14)","0.35 (14)"
"CMWA","M",95,"0.34 (95)","0.52 (95)",168,"0.4 (168)","0.55 (168)",42,"0.36 (39)","0.5 (42)",15,"0.67 (15)","0.2 (15)"
"BTBW","M",60,"0.4 (60)","0.58 (60)",57,"0.44 (57)","0.56 (57)",69,"0.48 (69)","0.62 (69)",55,"0.45 (55)","0.53 (55)"
"PAWA","M",23,"","0.43 (23)",13,"","0.46 (13)",3,"","0 (3)",3,"","0.33 (0)"
"PRAW","M",28,"0.61 (18)","0.64 (28)",36,"0.29 (28)","0.56 (36)",11,"0.56 (9)","0.64 (11)",1,"0 (1)","0 (1)"
"HILC","RE",18,"","0.12 (17)",13,"","0.17 (12)",16,"","0 (15)",27,"","0.12 (0)"
"STOF","R",22,"","0.36 (11)",9,"","0.33 (3)",22,"","0.75 (4)",17,"","0.75 (0)"
"RLTH","R",55,"","0.28 (53)",54,"","0.24 (54)",27,"","0.22 (27)",18,"","0.44 (0)"
"NOMO","R",31,"","0.13 (31)",33,"","0.18 (33)",21,"","0.05 (21)",19,"","0.42 (0)"
"GTGT","RE",29,"","0.55 (29)",59,"","0.41 (59)",20,"","0.4 (20)",40,"","0.41 (0)"
"BANA","R",125,"","0.35 (125)",87,"1 (1)","0.34 (87)",55,"","0.27 (55)",21,"","0.29 (0)"
"BCPT","RE",70,"","0.57 (69)",58,"","0.6 (58)",59,"","0.47 (59)",70,"","0.5 (0)"
"YFGR","R",179,"0.7 (154)","0.55 (178)",110,"0.67 (96)","0.55 (109)",61,"0.65 (52)","0.47 (60)",54,"0.63 (51)","0.56 (51)"
"BFGR","R",26,"0.35 (26)","0.46 (26)",41,"0.49 (35)","0.37 (41)",12,"0.42 (12)","0.67 (12)",8,"0.38 (8)","0.38 (8)"
"GABU","R",105,"0.6 (73)","0.62 (105)",122,"0.52 (96)","0.57 (122)",81,"0.58 (45)","0.69 (81)",56,"0.71 (41)","0.43 (41)"
