# Aceitillar data for Mencia pasture succesion manuscript,,,,,,,,,,,,,,,,,,
"# Original file ""Aceitillar 96_02 for Mencia.xls"" from SL via email",,,,,,,,,,,,,,,,,,
"# Original file had 3 worksheets: ""Returned migr"", ""Site persistent migr"" and ""All caps""",,,,,,,,,,,,,,,,,,
#,"Note: original worksheets with ""_migr"" included residents and migrants",,,,,,,,,,,,,,,,,
"# ""Site persistent birds are there for some portion of at least 1 winter – so they were resighted or recaptured at least once.""",,,,,,,,,,,,,,,,,,
"# ""Returned birds are a **subset** of the **site persistent birds** that returned a **subsequent** year.",,,,,,,,,,,,,,,,,,
# All caps is all captures.,,,,,,,,,,,,,,,,,,
"# C = captured (including orig capture); S = re_sighted, CS = captured & resighted in same session; W in comments = NEVER resighted/recaptured after original capture",,,,,,,,,,,,,,,,,,
# W = wanderers,,,,,,,,,,,,,,,,,,
#,,,,,,,Nov,Jan,Mar,Nov,Jan,Mar,Jan,Jan,Jan,Jan,Jan,
#,,,,,,CAP,96,97,97,97,98,98,99,0,1,2,3,
BAND,COLORS,SPECIES,AGE,SEX,SITE,DATA.CAP.ORIG,Nov.96,Jan.97,Mar.97,Nov.97,Jan.98,Mar.98,Jan.99,Jan.00,Jan.01,Jan.02,Jan.03,COMMENTS
373,BB-XB,AMRE,AHY,F,B2,11_14_1996,C,,,,,,,,,,,W
384,YB-XY,AMRE,AHY,F,B2,11_15_1996,CS,,,,,,,,,,,
393,XP-RB,AMRE,AHY,M,B1,11_19_1996,CS,S,S,,,,,,,,,
2390_24046,RX-BR,AMRE,AHY,F,B1,1_24_1997,,C,,S,,S,,,,,,
2390_24052,XY-RY,AMRE,AHY,F,B1,1_25_1997,,C,,,,,,,,,,W
2390_24057,BY-XY,AMRE,AHY,F,B1,1_25_1997,,C,,,,,,,,,,W
2390_24063,YY-BX,AMRE,AHY,F,B1,1_26_1997,,C,,,,,,,,,,W
2390_24345,PY-XP,AMRE,AHY,F,B1,3_11_1997,,,C,,,,,,,,,W
2110_80897,AG-RX,AMRE,AHY,F,B1,11_11_1997,,,,CS,,S,S,,,,,
2110_80896,GY-RX,AMRE,AHY,M,B1,11_11_1997,,,,C,,,,,,,,W
2110_80898,XY-RA,AMRE,AHY,F,B1,11_12_1997,,,,CS,S,S,,,,,,
1760_22667,YX-GY,AMRE,AHY,F,B2,1_17_1998,,,,,C,,,,,,,W
2110_80987,XY-AY,AMRE,AHY,F,B1,3_4_1998,,,,,,C,,,,,,W
2110_80988,YA-YX,AMRE,AHY,F,B2,3_9_1998,,,,,,CS,,,,,,
2110_81034,X-,AMRE,AHY,M,B2,1_24_2000,,,,,,,,C,,,,W
2110_81078,X-,AMRE,AHY,F,B2,1_31_2001,,,,,,,,,C,,,W
2110_81085,X-,AMRE,AHY,F,B2,2_2_2001,,,,,,,,,C,,,W
389,XB-RR,AMRE,HY,M,B2,11_16_1996,C,,,,,,,,,,,W
391,XP-RP,AMRE,HY,F,B1,11_19_1996,C,,,,,,,,,,,W
1950_82047,YP-XP,AMRE,HY,F,B1,11_20_1996,C,,,,,,,,,,,W
1950_82024,BB-BX,AMRE,HY,M,B1,11_20_1996,C,,,,,,,,,,,W
2390_24038,XR-YP,AMRE,HY,F,B2,1_21_1997,,C,,,,,,,,,,W
2390_24325,BR-XP,AMRE,HY,F,B2,3_5_1997,,,C,,,,,,,,,W
2390_24321,XP-BR,AMRE,HY,M,B2,3_5_1997,,,CS,,,,,,,,,
2390_24332,XB-RR,AMRE,HY,F,B2,3_6_1997,,,CS,S,S,S,,,,,,
2390_24337,XY-YR,AMRE,HY,F,B2,3_7_1997,,,C,,,,,,,,,W
2110_80892,GR-XR,AMRE,HY,F,B2,11_10_1997,,,,C,,,,,,,,W
2110_80894,GA-GX,AMRE,HY,F,B2,11_11_1997,,,,C,,,,,,,,W
2110_80895,AG-AX,AMRE,HY,F,B2,11_11_1997,,,,C,,,,,,,,W
1760_22662,XY-AR,AMRE,HY,M,B2,1_17_1998,,,,,CC,,,,,,,
2110_80985,YA-RX,AMRE,HY,M,B1,3_4_1998,,,,,,C,,,,,,W
2140_19006,YX-YW,AMRE,HY,M,B1,1_18_1999,,,,,,,C,,,,,W
2110_81030,GX-RW,AMRE,HY,M,B2,1_28_1999,,,,,,,C,,,,,W
2110_81031,RX-YW,AMRE,HY,M,B2,1_29_1999,,,,,,,C,,,,,W
2110_81032,XW-GW,AMRE,HY,M,B2,1_29_1999,,,,,,,C,,,,,W
2110_81035,X-,AMRE,HY,M,B1,1_25_2000,,,,,,,,C,,,,W
2110_81081,X-,AMRE,HY,M,B2,2_1_2001,,,,,,,,,C,,,W
4_4576,X-,ANPI,,M,B2,1_29_1999,,,,,,,C,,,,,
4_4585,X-,ANPI,,M,B2,1_24_2000,,,,,,,,C,,,,
4_4597,X-,ANPI,,F,B1,1_26_2000,,,,,,,,C,,,,
4_4834,x-,ANPI,,F,B1,2_2_2001,,,,,,,,,C,,,
26979,X-,BANA,AHY,,B1,1_17_1999,,,,,,,C,,,,,
26980,X-,BANA,AHY,,B1,1_17_1999,,,,,,,C,,,,,
26981,X-,BANA,AHY,,B1,1_17_1999,,,,,,,C,,,,,
26982,X-,BANA,AHY,,B1,1_17_1999,,,,,,,C,,,,,
26983,X-,BANA,AHY,,B1,1_17_1999,,,,,,,C,,,,,
26984,X-,BANA,AHY,,B1,1_17_1999,,,,,,,C,,,,,
2_6987,X-,BANA,AHY,,B1,1_17_1999,,,,,,,C,,,,,
2_6988,X-,BANA,AHY,,B1,1_17_1999,,,,,,,C,,,,,
2_5489,X-,BANA,AHY,,B1,1_18_1999,,,,,,,C,,,,,
2_5490,X-,BANA,AHY,,B1,1_18_1999,,,,,,,C,,,,,
2_6991,X-,BANA,AHY,,B1,1_18_1999,,,,,,,C,,,,,
2_6992,X-,BANA,AHY,,B1,1_18_1999,,,,,,,C,,,,,
2_6994,X-,BANA,AHY,,B1,1_18_1999,,,,,,,C,,,,,
2_6995,X-,BANA,AHY,,B1,1_18_1999,,,,,,,C,,,,,
2_6996,X-,BANA,AHY,,B1,1_18_1999,,,,,,,C,,,,,
2_6997,X-,BANA,AHY,,B1,1_18_1999,,,,,,,C,,,,,
2_6999,X-,BANA,AHY,,B1,1_18_1999,,,,,,,C,,,,,
2_7000,X-,BANA,AHY,,B1,1_18_1999,,,,,,,C,,,,,
2_5497,X-,BANA,AHY,,B1,1_19_1999,,,,,,,C,,,,,
2_6859,X-,BANA,AHY,,B2,1_28_1999,,,,,,,C,,C,,,
2_6862,X-,BANA,AHY,,B2,1_28_1999,,,,,,,C,,,,,
2_6863,X-,BANA,AHY,,B2,1_28_1999,,,,,,,C,,,,,
2_6864,X-,BANA,AHY,,B2,1_28_1999,,,,,,,C,,,,,
2_6865,X-,BANA,AHY,,B2,1_28_1999,,,,,,,C,,C,,,
2_6868,X-,BANA,AHY,,B2,1_29_1999,,,,,,,C,,,,,
2_6870,X-,BANA,AHY,,B2,1_29_1999,,,,,,,C,,,,,
2_6873,X-,BANA,AHY,,B2,1_29_1999,,,,,,,C,,,,,
2_6874,X-,BANA,AHY,,B2,1_29_1999,,,,,,,C,,,,,
2_6875,X-,BANA,AHY,,B2,1_29_1999,,,,,,,C,,,,,
2_6876,X-,BANA,AHY,,B2,1_30_1999,,,,,,,C,,,,,
2_6877,X-,BANA,AHY,,B2,1_30_1999,,,,,,,C,,,,,
2_6892,X-,BANA,AHY,,B2,1_23_2000,,,,,,,,C,,,,
2_6894,X-,BANA,AHY,,B2,1_23_2000,,,,,,,,C,,,,
602,X-,BANA,AHY,,B2,1_24_2000,,,,,,,,C,,,,
604,X-,BANA,AHY,,B2,1_24_2000,,,,,,,,C,,,,
606,X-,BANA,AHY,,B2,1_24_2000,,,,,,,,C,,,,
607,X-,BANA,AHY,,B2,1_24_2000,,,,,,,,C,,,,
2_6897,X-,BANA,AHY,,B2,1_24_2000,,,,,,,,C,,,,
609,X-,BANA,AHY,,B1,1_25_2000,,,,,,,,C,,,,
611,X-,BANA,AHY,,B1,1_25_2000,,,,,,,,C,,,,
612,X-,BANA,AHY,,B1,1_25_2000,,,,,,,,C,,,,
613,X-,BANA,AHY,,B1,1_25_2000,,,,,,,,C,,,,
614,X-,BANA,AHY,,B1,1_25_2000,,,,,,,,C,,C,,
615,X-,BANA,AHY,,B1,1_25_2000,,,,,,,,C,,,,
617,X-,BANA,AHY,,B1,1_26_2000,,,,,,,,C,,,,
618,X-,BANA,AHY,,B1,1_26_2000,,,,,,,,C,,,,
619,X-,BANA,AHY,,B1,1_26_2000,,,,,,,,C,,,,
620,X-,BANA,AHY,,B1,1_26_2000,,,,,,,,C,,,,
623,X-,BANA,AHY,,B1,1_26_2000,,,,,,,,C,,,,
624,X-,BANA,AHY,,B1,1_26_2000,,,,,,,,C,,,,
628,X-,BANA,AHY,,B1,1_27_2000,,,,,,,,C,,,,
629,X-,BANA,AHY,,B1,1_27_2000,,,,,,,,C,,,,
630,X-,BANA,AHY,,B1,1_27_2000,,,,,,,,C,,,,
2110_81079,X-,BANA,AHY,,B2,1_31_2001,,,,,,,,,C,,,
2110_81082,X-,BANA,AHY,,B2,2_1_2001,,,,,,,,,C,,,
2110_81083,X-,BANA,AHY,,B2,2_1_2001,,,,,,,,,C,,,
2110_81086,X-,BANA,AHY,,B1,2_2_2001,,,,,,,,,C,,,
2110_81087,X-,BANA,AHY,,B1,2_2_2001,,,,,,,,,C,,,
2110_81089,X-,BANA,AHY,,B1,2_2_2001,,,,,,,,,C,,,
2110_81090,X-,BANA,AHY,,B1,2_2_2001,,,,,,,,,C,,,
2110_81091,x-,BANA,AHY,,B1,2_2_2001,,,,,,,,,C,,,
2110_81084,X-,BANA,AHY,,B2,2_2_2001,,,,,,,,,C,,,
2110_55401,X-,BANA,AHY,,B1,2_3_2001,,,,,,,,,C,,,
2110_55402,X-,BANA,AHY,,B1,2_3_2001,,,,,,,,,C,,,
2110_55403,X-,BANA,AHY,,B1,2_3_2001,,,,,,,,,C,,,
2110_55404,X-,BANA,AHY,,B1,2_3_2001,,,,,,,,,C,,,
2110_55405,X-,BANA,AHY,,B1,2_3_2001,,,,,,,,,C,,,
2110_55406,X-,BANA,AHY,,B1,2_3_2001,,,,,,,,,C,,,
2110_55407,X-,BANA,AHY,,B1,2_3_2001,,,,,,,,,C,C,,
2110_55408,X-,BANA,AHY,,B1,2_3_2001,,,,,,,,,C,C,,
2110_81092,x-,BANA,AHY,,B1,2_3_2001,,,,,,,,,C,,,
2110_81093,X-,BANA,AHY,,B1,2_3_2001,,,,,,,,,C,,,
2110_81094,X-,BANA,AHY,,B1,2_3_2001,,,,,,,,,C,,,
2110_81095,X-,BANA,AHY,,B1,2_3_2001,,,,,,,,,C,,,
