"spp.code","band","colors","age","sex","site","date.cap.orig","nov.96","jan.97","mar.97","nov.97","jan.98","mar.98","jan.99","jan.00","jan.01","jan.02","jan.03","comments","data.cap.orig2","status.focals","spp","status2","hab1","diet","sub.site"
"AMRE","393","XP-RB","AHY","M","Aceitillar","18-Nov-92","CS","S","S","","","","","","","","","",1992-11-18,"mig","American Redstart","M","EF","I","B1"
"AMRE","373","BB-XB","AHY","F","Aceitillar","13-Nov-92","C","","","","","","","","","","","W",1992-11-13,"mig","American Redstart","M","EF","I","B2"
"AMRE","1950-82047","YP-XP","HY","F","Aceitillar","19-Nov-92","C","","","","","","","","","","","W",1992-11-19,"mig","American Redstart","M","EF","I","B1"
"AMRE","2110-80987","XY-AY","AHY","F","Aceitillar","3-Mar-94","","","","","","C","","","","","","W",1994-03-03,"mig","American Redstart","M","EF","I","B1"
"AMRE","2390-24057","BY-XY","AHY","F","Aceitillar","24-Jan-93","","C","","","","","","","","","","W",1993-01-24,"mig","American Redstart","M","EF","I","B1"
"AMRE","2110-80892","GR-XR","HY","F","Aceitillar","9-Nov-93","","","","C","","","","","","","","W",1993-11-09,"mig","American Redstart","M","EF","I","B2"
"AMRE","1760-22662","XY-AR","HY","M","Aceitillar","16-Jan-94","","","","","CC","","","","","","","",1994-01-16,"mig","American Redstart","M","EF","I","B2"
"AMRE","2110-80896","GY-RX","AHY","M","Aceitillar","10-Nov-93","","","","C","","","","","","","","W",1993-11-10,"mig","American Redstart","M","EF","I","B1"
"AMRE","389","XB-RR","HY","M","Aceitillar","15-Nov-92","C","","","","","","","","","","","W",1992-11-15,"mig","American Redstart","M","EF","I","B2"
"AMRE","2390-24325","BR-XP","HY","F","Aceitillar","4-Mar-93","","","C","","","","","","","","","W",1993-03-04,"mig","American Redstart","M","EF","I","B2"
"AMRE","391","XP-RP","HY","F","Aceitillar","18-Nov-92","C","","","","","","","","","","","W",1992-11-18,"mig","American Redstart","M","EF","I","B1"
"AMRE","2110-80897","AG-RX","AHY","F","Aceitillar","10-Nov-93","","","","CS","","S","S","","","","","",1993-11-10,"mig","American Redstart","M","EF","I","B1"
"AMRE","2110-81035","X-","HY","M","Aceitillar","24-Jan-96","","","","","","","","C","","","","W",1996-01-24,"mig","American Redstart","M","EF","I","B1"
"AMRE","384","YB-XY","AHY","F","Aceitillar","14-Nov-92","CS","","","","","","","","","","","",1992-11-14,"mig","American Redstart","M","EF","I","B2"
"AMRE","2390-24052","XY-RY","AHY","F","Aceitillar","24-Jan-93","","C","","","","","","","","","","W",1993-01-24,"mig","American Redstart","M","EF","I","B1"
