"spp.code","bnd","col","ag","sx","site","date.cap.orig","N.96","J.97","M.97","N.97","J.98","M.98","J.99","J.00","J.01","J.02","J.03","nts","date.cap.raw","stat.focals","spp","stat","hab1","diet","sub.site","persist"
"AMRE","373","BB-XB","AHY","F","Aceitillar",1996-11-14,"C","","","","","","","","","","","W","11_14_1996","mig","American Redstart","M","EF","I","B2","NP"
"AMRE","393","XP-RB","AHY","M","Aceitillar",1996-11-19,"CS","S","S","","","","","","","","","","11_19_1996","mig","American Redstart","M","EF","I","B1","P"
"AMRE","389","XB-RR","HY","M","Aceitillar",1996-11-16,"C","","","","","","","","","","","W","11_16_1996","mig","American Redstart","M","EF","I","B2","NP"
"AMRE","2390_24321","XP-BR","HY","M","Aceitillar",1997-03-05,"","","CS","","","","","","","","","","3_5_1997","mig","American Redstart","M","EF","I","B2","P"
"AMRE","2110_81078","X-","AHY","F","Aceitillar",2001-01-31,"","","","","","","","","C","","","W","1_31_2001","mig","American Redstart","M","EF","I","B2","NP"
"AMRE","2110_81031","RX-YW","HY","M","Aceitillar",1999-01-29,"","","","","","","C","","","","","W","1_29_1999","mig","American Redstart","M","EF","I","B2","NP"
"AMRE","2390_24063","YY-BX","AHY","F","Aceitillar",1997-01-26,"","C","","","","","","","","","","W","1_26_1997","mig","American Redstart","M","EF","I","B1","NP"
"AMRE","2390_24038","XR-YP","HY","F","Aceitillar",1997-01-21,"","C","","","","","","","","","","W","1_21_1997","mig","American Redstart","M","EF","I","B2","NP"
"AMRE","2110_80987","XY-AY","AHY","F","Aceitillar",1998-03-04,"","","","","","C","","","","","","W","3_4_1998","mig","American Redstart","M","EF","I","B1","NP"
"AMRE","2110_80985","YA-RX","HY","M","Aceitillar",1998-03-04,"","","","","","C","","","","","","W","3_4_1998","mig","American Redstart","M","EF","I","B1","NP"
"AMRE","2110_80988","YA-YX","AHY","F","Aceitillar",1998-03-09,"","","","","","CS","","","","","","","3_9_1998","mig","American Redstart","M","EF","I","B2","P"
"AMRE","2390_24057","BY-XY","AHY","F","Aceitillar",1997-01-25,"","C","","","","","","","","","","W","1_25_1997","mig","American Redstart","M","EF","I","B1","NP"
"AMRE","1760_22662","XY-AR","HY","M","Aceitillar",1998-01-17,"","","","","CC","","","","","","","","1_17_1998","mig","American Redstart","M","EF","I","B2","P"
"AMRE","2110_80897","AG-RX","AHY","F","Aceitillar",1997-11-11,"","","","CS","","S","S","","","","","","11_11_1997","mig","American Redstart","M","EF","I","B1","P"
"AMRE","2110_80896","GY-RX","AHY","M","Aceitillar",1997-11-11,"","","","C","","","","","","","","W","11_11_1997","mig","American Redstart","M","EF","I","B1","NP"
"AMRE","2390_24325","BR-XP","HY","F","Aceitillar",1997-03-05,"","","C","","","","","","","","","W","3_5_1997","mig","American Redstart","M","EF","I","B2","NP"
"AMRE","1950_82047","YP-XP","HY","F","Aceitillar",1996-11-20,"C","","","","","","","","","","","W","11_20_1996","mig","American Redstart","M","EF","I","B1","NP"
"AMRE","1950_82024","BB-BX","HY","M","Aceitillar",1996-11-20,"C","","","","","","","","","","","W","11_20_1996","mig","American Redstart","M","EF","I","B1","NP"
"AMRE","2110_81030","GX-RW","HY","M","Aceitillar",1999-01-28,"","","","","","","C","","","","","W","1_28_1999","mig","American Redstart","M","EF","I","B2","NP"
"AMRE","384","YB-XY","AHY","F","Aceitillar",1996-11-15,"CS","","","","","","","","","","","","11_15_1996","mig","American Redstart","M","EF","I","B2","P"
"AMRE","2110_81032","XW-GW","HY","M","Aceitillar",1999-01-29,"","","","","","","C","","","","","W","1_29_1999","mig","American Redstart","M","EF","I","B2","NP"
"AMRE","2390_24046","RX-BR","AHY","F","Aceitillar",1997-01-24,"","C","","S","","S","","","","","","","1_24_1997","mig","American Redstart","M","EF","I","B1","P"
"AMRE","2110_81034","X-","AHY","M","Aceitillar",2000-01-24,"","","","","","","","C","","","","W","1_24_2000","mig","American Redstart","M","EF","I","B2","NP"
"AMRE","2110_81035","X-","HY","M","Aceitillar",2000-01-25,"","","","","","","","C","","","","W","1_25_2000","mig","American Redstart","M","EF","I","B1","NP"
"AMRE","2110_80892","GR-XR","HY","F","Aceitillar",1997-11-10,"","","","C","","","","","","","","W","11_10_1997","mig","American Redstart","M","EF","I","B2","NP"
"AMRE","2390_24332","XB-RR","HY","F","Aceitillar",1997-03-06,"","","CS","S","S","S","","","","","","","3_6_1997","mig","American Redstart","M","EF","I","B2","P"
