# Dominican republic Mencia pasture succession and Aceitillar morphometic data,,,,,,,,
"# Original file ""Mencia body cond site pers indivs.xls"" was received from Steve Latta via meail and saved as a workding  .csv file on 2/5/2018.
",,,,,,,,
"# Original .xls file password proteted; password = ""final""  all lower case",,,,,,,,
"# This file only contains wing and mass data for ""site persistent"" individuals as scored by SL latta",,,,,,,,
"# See  file ""All Mencia B.xls"" for SL's original site persistence data (capture histories in wide formake",,,,,,,,
# Files processed by Nathan Brouwer in R for re-submission of manuscript 2/5/2018,,,,,,,,
# Note that morphometic data occurs in other spreadsheets but usually not all years are available; this also include Mencia AND Aceitillliar,,,,,,,,
spp.code,age,sex,site,date.cap.org,wing,tarsus,mass,site.age
AMRE,AHY,F,Caoba,22-Feb-07,56.5,17.6,6.5,5
AMRE,AHY,F,Caoba,24-Nov-06,59.5,17.6,6.6,5
AMRE,AHY,F,Caoba,28-Nov-06,56.5,17,6.6,5
AMRE,HY,F,Caoba,14-Nov-04,59.5,17.3,6.8,5
AMRE,AHY,F,Caoba,12-Nov-03,58.5,16.8,7.1,5
AMRE,AHY,F,Caoba,16-Dec-05,59.5,16.6,7.3,5
AMRE,AHY,F,Caoba,11-Nov-03,59.5,16.9,7.5,5
AMRE,AHY,F,Caoba,10-Nov-03,59.5,17.8,7.9,5
AMRE,AHY,F,Caoba,10-Nov-03,58,17,7.7,5
AMRE,AHY,F,Corral,21-Jan-07,57,17.1,6.8,20
AMRE,AHY,F,Corral,22-Jan-07,57.5,17.2,7,20
AMRE,HY,F,Corral,3-Dec-06,59,17.2,7.1,20
AMRE,AHY,F,Corral,19-Feb-05,60,17,7.3,20
AMRE,AHY,F,Corral,17-Jan-05,59,17.1,7.5,20
AMRE,AHY,F,Corral,25-Nov-05,61,17.1,7.5,20
AMRE,AHY,F,Cueva,21-Nov-06,56.5,17.9,6.7,2
AMRE,HY,F,Cueva,21-Nov-06,55,17,6.5,2
AMRE,AHY,F,Cueva,7-Jan-05,61,17.8,6.9,2
AMRE,HY,F,Cueva,4-Jan-04,57,17.5,6.8,2
AMRE,HY,F,Cueva,6-Jan-05,58,17.2,6.8,2
AMRE,HY,F,Cueva,6-Jan-05,59,17.4,6.9,2
AMRE,AHY,F,Cueva,24-Nov-06,59,17,6.8,2
AMRE,HY,F,Cueva,11-Nov-04,60,17,6.9,2
AMRE,HY,F,Cueva,5-Jan-04,58,17.2,7,2
AMRE,HY,F,Cueva,12-Nov-05,58,16.7,6.9,2
AMRE,HY,F,Cueva,12-Nov-04,60,16.6,6.9,2
AMRE,HY,F,Cueva,21-Nov-06,56,16.7,7.1,2
AMRE,HY,F,Cueva,5-Jan-04,58,17,7.3,2
AMRE,HY,F,Cueva,10-Nov-05,58.5,17.1,7.5,2
AMRE,AHY,F,Cueva,10-Jan-07,60.5,16.9,7.5,2
AMRE,HY,F,Cueva,9-Nov-04,61,16.8,7.5,2
AMRE,HY,F,Cueva,9-Nov-04,63.5,16,7.3,2
AMRE,HY,F,Cueva,10-Nov-04,61,17.1,8,2
AMRE,HY,F,Morelia,23-Nov-03,58,17.9,7,10
AMRE,AHY,F,Morelia,19-Nov-05,57.5,17.4,6.9,10
AMRE,AHY,F,Morelia,12-Jan-05,58,17.4,7.5,10
AMRE,HY,F,Morelia,22-Nov-03,57,16.6,7.2,10
AMRE,AHY,F,Morelia,24-Feb-04,60,17.3,7.6,10
AMRE,HY,F,Morelia,21-Nov-03,60,16.3,7.2,10
AMRE,AHY,F,Aceitillar,111496,62,18.6,8,50
AMRE,AHY,F,Aceitillar,111596,59.5,17.3,7.7,50
AMRE,HY,F,Aceitillar,111996,62,17.2,7.4,50
AMRE,AHY,F,Aceitillar,16-Jan-94,60,19.8,9.1,50
AMRE,HY,F,Aceitillar,9-Nov-93,59,18.5,6.7,50
AMRE,HY,F,Aceitillar,10-Nov-93,59.5,19.4,7,50
AMRE,HY,F,Aceitillar,10-Nov-93,58,18.8,7.1,50
AMRE,AHY,F,Aceitillar,11-Nov-93,58.5,18.7,7.2,50
AMRE,AHY,F,Aceitillar,3-Mar-94,60,18.2,7,50
AMRE,AHY,F,Aceitillar,8-Mar-94,59.5,19.3,7,50
AMRE,AHY,F,Aceitillar,30-Jan-97,58,,6.8,50
AMRE,AHY,F,Aceitillar,1-Feb-97,60,,6.3,50
AMRE,HY,F,Aceitillar,12197,58.5,16.6,6.8,50
AMRE,AHY,F,Aceitillar,12497,60.5,19.3,7.4,50
AMRE,AHY,F,Aceitillar,12597,60,19.1,7.5,50
AMRE,AHY,F,Aceitillar,12597,60.5,19.8,7.9,50
AMRE,AHY,F,Aceitillar,12697,60.5,17.9,7.1,50
AMRE,HY,F,Aceitillar,30597,56.5,18.6,7.1,50
AMRE,HY,F,Aceitillar,30697,56,17.8,6.7,50
AMRE,HY,F,Aceitillar,30797,57.5,18.3,6.9,50
AMRE,AHY,F,Aceitillar,31197,59.5,19.1,7,50
AMRE,HY,M,Caoba,14-Nov-04,61,17.9,6.7,5
AMRE,HY,M,Corral,23-Jan-07,61,16.7,7,10
AMRE,HY,M,Corral,16-Feb-05,60,16.5,7,10
AMRE,HY,M,Corral,20-Jan-05,61,16.8,7.2,10
AMRE,AHY,M,Corral,26-Dec-05,63,17,8.3,10
AMRE,AHY,M,Corral,24-Nov-04,61.5,15.5,8,10
AMRE,HY,M,Cueva,5-Jan-05,61.5,17,6.5,2
AMRE,HY,M,Cueva,5-Feb-05,60,16.5,7,2
AMRE,HY,M,Morelia,19-Nov-05,58.5,16.8,6.4,10
AMRE,HY,M,Morelia,28-Nov-06,57.5,17.2,7.3,10
AMRE,HY,M,Aceitillar,111696,61,17.4,7.6,50
AMRE,AHY,M,Aceitillar,111996,62,18.5,7.8,50
AMRE,HY,M,Aceitillar,16-Jan-94,61.5,20,7.2,50
AMRE,HY,M,Aceitillar,112096,60.5,20.9,8.1,50
AMRE,AHY,M,Aceitillar,10-Nov-93,64.5,,8.9,50
AMRE,HY,M,Aceitillar,3-Mar-94,61.5,19.6,7.2,50
AMRE,HY,M,Aceitillar,1/27/1995,59.5,,6.9,50
AMRE,HY,M,Aceitillar,1/28/1995,60,,6.4,50
AMRE,AHY,M,Aceitillar,1/23/1996,60.5,17.8,7.1,50
AMRE,HY,M,Aceitillar,1/24/1996,58,18.8,6.3,50
