#Mencia & Aceitilllar leaf litter samples to characterize litter insects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#File ""Mencia Leaf Litter Samples.xls"" recieved from Steve Latta via email.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#File was in wide format with misc. spaces and other formats; original file password projected; password = ""final""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#File will need to be melted and reshaped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# methods state""Leaf litter samples were collected in mid-winter (January) from n=30, 25-cm diameter circles in each site and placed into a sorting pan.""; implies this was done the 1st 2 years of study but this is not indicted in the data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site,month,taxa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Broadleaf,Jan,Spiders,0,0,0,2,3,2,1,1,0,1,2,1,6,1,0,2,0,0,0,2,0,0,1,0,5,1,1,4,0,8
Broadleaf,Jan,Ants,0,0,0,4,1,1,3,0,0,0,1,0,5,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,1
Broadleaf,Jan,Cockroach,0,1,0,0,1,2,1,0,0,2,1,0,5,1,0,0,0,1,2,0,0,0,3,1,0,0,2,1,0,1
Broadleaf,Jan,Beetle,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Broadleaf,Jan,Cricket,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broadleaf,Jan,Gusano,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Broadleaf,Jan,Other,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,3,0,0,2,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
La Cueva,Jan,Spiders,5,0,0,5,2,0,2,0,0,0,3,0,2,1,0,0,0,2,0,7,0,2,3,6,2,2,2,1,1,0
La Cueva,Jan,Ants,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0
La Cueva,Jan,Cockroach,3,0,0,2,0,2,1,0,1,0,0,0,3,3,0,0,0,4,0,0,0,1,2,0,1,1,0,0,0,0
La Cueva,Jan,Beetle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0
La Cueva,Jan,Cricket,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
La Cueva,Jan,Gusano,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,2,0,0,0,0,0,0
La Cueva,Jan,Other,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,9,0,0,0,90,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
El Corral,Jan,Spiders,0,11,1,2,7,0,3,4,0,2,7,1,0,2,4,1,0,1,0,3,1,4,0,0,0,4,6,4,0,0
El Corral,Jan,Ants,5,1,2,0,0,0,0,1,0,13,3,0,1,3,2,0,2,0,0,1,2,10,1,0,2,1,4,0,0,1
El Corral,Jan,Cockroach,1,3,0,0,0,1,3,5,5,1,2,1,1,2,2,0,4,0,1,2,1,0,0,2,0,0,1,4,0,0
El Corral,Jan,Beetle,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Corral,Jan,Cricket,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Corral,Jan,Gusano,1,0,0,1,0,0,0,0,3,2,1,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
El Corral,Jan,Other,0,6,7,6,4,0,3,1,12,0,2,2,0,8,0,0,14,0,1,34,1,0,0,0,0,0,0,3,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
La Caoba,Jan,Spiders,1,5,6,4,1,4,0,0,3,3,2,1,4,0,4,1,2,1,5,2,0,1,0,5,0,1,2,0,1,5
La Caoba,Jan,Ants,0,0,0,0,3,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,2,3,0,1,0,2,0,0
La Caoba,Jan,Cockroach,0,0,7,3,0,0,0,0,0,3,0,0,2,0,4,1,0,1,0,0,2,0,1,1,0,0,0,0,0,0
La Caoba,Jan,Beetle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
La Caoba,Jan,Cricket,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
La Caoba,Jan,Gusano,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
La Caoba,Jan,Other,0,42,0,3,1,3,2,3,3,9,3,1,6,0,0,1,1,1,1,5,0,0,1,2,20,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Morelia,Jan,Spiders,0,1,0,1,0,1,0,5,2,0,6,1,0,6,0,0,2,7,0,1,4,3,2,0,1,1,6,2,3,0
Morelia,Jan,Ants,2,1,0,2,0,0,0,0,0,1,10,3,1,0,0,0,3,2,2,1,6,4,3,0,0,0,3,0,3,0
Morelia,Jan,Cockroach,1,0,0,2,0,2,0,3,2,5,2,0,1,0,2,0,0,5,1,2,5,3,2,3,1,0,8,0,2,0
Morelia,Jan,Beetle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morelia,Jan,Cricket,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Morelia,Jan,Gusano,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Morelia,Jan,Other,1,1,0,5,0,0,0,4,0,0,1,20,1,1,1,1,2,0,1,0,0,5,1,1,3,0,0,0,0,0
