# Mencia pasture succession bird captures 2004-2005 Dominican Republic,,,,,,,,,,,,,
"# Original file received from Steve Latta via email 12/2017 ""2004-05 All Captures.xls""",,,,,,,,,,,,,
"# See additional file ""All Mencia B.xls"" for information on site persistance ",,,,,,,,,,,,,
# Files processed by Nathan Brouwer in R for re-submission of manuscript 1/15/2018,,,,,,,,,,,,,
"#""NOTES"" columns contains ""DIED"" ""MITES"" and also numbers; not sure what numbers are",,,,,,,,,,,,,
BAND PRE,BAND SUF,COLORS,SPECIES,AGE,SEX,SITE,DATE,WING,TARSUS,MASS,FAT,PEC,NOTES
2240,21816,XY-YW,AMRE,HY,,El Corral,20-Nov-04,62,16.9,7.5,1,1,
2240,21821,XW-BY,AMRE,AHY,M,El Corral A,24-Nov-04,61.5,15.5,8,0,1,
2240,21821,XW-BY,AMRE,AHY,M,El Corral A,20-Feb-05,61.5,15.8,6.6,0,0,
2240,21841,RY-XR,AMRE,AHY,F,El Corral,17-Jan-05,59,17.1,7.5,1,0,
2240,21841,RY-XR,AMRE,AHY,F,El Corral,19-Jan-05,,,,,,
2240,21841,RY-XR,AMRE,AHY,F,El Corral A,19-Feb-05,59,17.2,7.3,0,0,
2240,21842,WX-BW,AMRE,AHY,F,El Corral,18-Jan-05,59,16.7,7.1,1,0,
2240,21843,WX-BY,AMRE,HY,,El Corral A,20-Jan-05,58.5,17.4,6.9,0,1,
2240,21844,YX-BY,AMRE,HY,M,El Corral A,20-Jan-05,61,16.8,7.2,0,0,
2240,21845,XW-BR,AMRE,AHY,F,El Corral A,21-Jan-05,58.5,15.7,6.5,0,0,
2240,21865,RX-BR,AMRE,HY,M,El Corral,16-Feb-05,60,16.5,7,0,1,
2240,21866,RW-XR,AMRE,HY,,El Corral,17-Feb-05,57.5,16.3,6.6,1,1,
2240,21869,XY-WR,AMRE,AHY,F,El Corral A,19-Feb-05,60,17,7.3,0,1,
4A,296,R-X,ANPI,AHY,F,El Corral,18-Jan-05,71,18,27.8,,,
,413,X-,BANA,AHY,,El Corral A,19-Feb-05,53,16.2,8.4,,,
,416,X-,BANA,AHY,,El Corral A,20-Feb-05,51,15.7,7.2,,,
2250,78446,X-,BANA,AHY,,El Corral,20-Nov-04,57,16.3,8.1,,,
2250,78450,X-,BANA,AHY,,El Corral,21-Nov-04,56,16.5,7.3,,,
2250,78453,X-,BANA,HY,,El Corral,22-Nov-04,51.5,15.4,8.1,,,
2250,78461,X-,BANA,AHY,,El Corral A,23-Nov-04,52,15.3,7.1,,,
2250,78470,X-,BANA,HY,,El Corral A,24-Nov-04,57,16.4,7.7,,,
2220,95984,X-,BANA,HY,,El Corral A,19-Jan-05,51.5,15.2,6.6,,,
2220,95988,X-,BANA,AHY,,El Corral A,19-Jan-05,49.5,14.9,7,,,
2220,95989,X-,BANA,AHY,,El Corral A,19-Jan-05,51.5,15.5,6.9,,,
,409,WW-YX,BAWW,AHY,M,El Corral A,18-Feb-05,69.5,16.8,10.3,2,2,
,414,YX-WB,BAWW,AHY,F,El Corral A,19-Feb-05,65.5,17.3,12.7,1,1,
2250,78634,Y-X,BAWW,AHY,F,El Corral,18-Jan-05,65,17.3,9.6,0,1,
