# Mencia pasture succession bird captures 2005-2006 Dominican Republic,,,,,,,,,,,,,
"# Original file received from Steve Latta via email 12/2017 ""2005-06 All Captures.xls""   Files processed by Nathan Brouwer in R for re-submission of manuscript 1/15/2018",,,,,,,,,,,,,
"# See additional file ""All Mencia B.xls"" for information on site persistance ",,,,,,,,,,,,,
"# NOTE: file does not contain morphometric or condition data (pec, etc)",,,,,,,,,,,,,
"#Original comment: ""All bird captured in 2005-06 -- but all within session recaps omitted""  This information is likely in the ""All Mencia B.xls"" file that contains information on site persistance",,,,,,,,,,,,,
BAND PRE,BAND SUF,COLORS,SPECIES,AGE,SEX,SITE,DATE,WING,TARSUS,MASS,FAT,PEC,NOTES
2240,21896,YR-XR,AMRE,AHY,F,El Corral,25-Nov-05,,,,,,x
2240,21906,XB-RB,AMRE,AHY,M,El Corral,26-Dec-05,,,,,,x
,475,X-,BANA,HY,,El Corral,22-Nov-05,,,,,,x
2430,14084,X-,BANA,AHY,,El Corral,23-Jan-06,,,,,,x
2430,14118,X-,BANA,ASY,,El Corral,22-Feb-06,,,,,,x
2430,14119,X-,BANA,SY,,El Corral,23-Feb-06,,,,,,x
2430,14121,X-,BANA,ASY,,El Corral,23-Feb-06,,,,,,x
,483,YX-RB,BAWW,HY,F,El Corral,24-Nov-05,,,,,,x
,483,YX-RB,BAWW,HY,F,El Corral,25-Jan-06,,,,,,x
2430,14045,YX-YR,BAWW,HY,F,El Corral,24-Dec-05,,,,,,x
2430,14045,YX-YR,BAWW,SY,F,El Corral,24-Feb-06,,,,,,x
2430,14046,YX-RY,BAWW,HY,M,El Corral,24-Dec-05,,,,,,x
2430,14049,BR-YX,BAWW,HY,M,El Corral,26-Dec-05,,,,,,x
2430,14049,BR-XY,BAWW,SY,M,El Corral,25-Feb-06,,,,,,x
2430,14086,YX-YW,BAWW,HY,F,El Corral,26-Jan-06,,,,,,x
2430,14125,YX-RW,BAWW,SY,F,El Corral,26-Feb-06,,,,,,x
2220,95992,RR-YX,BAWW,AHY,F,El Corral,26-Nov-05,,,,,,x
2220,95992,RR-YX,BAWW,ASY,F,El Corral,26-Feb-06,,,,,,x
4A,218,XW-BY,BCPT,ASY,,El Corral,23-Feb-06,,,,,,x
4A,243,YY-XY,BCPT,ASY,,El Corral,26-Feb-06,,,,,,x
4A,245,YW-WX,BCPT,ASY,,El Corral,25-Feb-06,,,,,,x
4A,297,XY-BR,BCPT,ASY,,El Corral,23-Feb-06,,,,,,x
4A,299,YX-BY,BCPT,SY,,El Corral,26-Jan-06,,,,,,x
4A,338,XY-RW,BCPT,SY,,El Corral,25-Nov-05,,,,,,x
4A,357,RW-XW,BCPT,HY,,El Corral,23-Nov-05,,,,,,x
4A,358,RB-XW,BCPT,HY,,El Corral,24-Nov-05,,,,,,x
4A,359,YR-XW,BCPT,HY,,El Corral,24-Nov-05,,,,,,x
4A,359,YR-XW,BCPT,HY,,El Corral,24-Jan-06,,,,,,x
4A,360,YW-XW,BCPT,HY,,El Corral,24-Nov-05,,,,,,x
4A,360,YW-XW,BCPT,SY,,El Corral,23-Feb-06,,,,,,x
4A,361,XB-YB,BCPT,HY,,El Corral,25-Nov-05,,,,,,x
4A,366,BX-RR,BCPT,AHY,,El Corral,24-Dec-05,,,,,,x
4A,367,YB-XW,BCPT,AHY,,El Corral,26-Dec-05,,,,,,x
4A,368,YX-RW,BCPT,HY,,El Corral,26-Dec-05,,,,,,x
4A,370,YX-YW,BCPT,AHY,,El Corral,23-Jan-06,,,,,,x
4A,371,YX-YB,BCPT,HY,,El Corral,23-Jan-06,,,,,,x
4A,381,BX-WY,BCPT,SY,,El Corral,22-Feb-06,,,,,,x
4A,382,XB-WW,BCPT,SY,,El Corral,23-Feb-06,,,,,,x
4A,383,YB-YX,BCPT,SY,,El Corral,23-Feb-06,,,,,,x
4A,384,WY-WX,BCPT,SY,,El Corral,23-Feb-06,,,,,,x
2240,21897,X-,BFGR,HY,F,El Corral,25-Nov-05,,,,,,x
2240,21922,X-,BFGR,SY,M,El Corral,24-Feb-06,,,,,,x
,476,XB-RY,BTBW,HY,M,El Corral,22-Nov-05,,,,,,x
,476,XB-RY,BTBW,HY,M,El Corral,24-Dec-05,,,,,,x
,476,XB-RY,BTBW,HY,M,El Corral,25-Jan-06,,,,,,x
,479,XW-YB,BTBW,HY,F,El Corral,23-Nov-05,,,,,,x
,485,WR-XR,BTBW,AHY,F,El Corral,26-Nov-05,,,,,,x
,485,WR-XR,BTBW,AHY,F,El Corral,26-Dec-05,,,,,,x
,485,WR-XR,BTBW,ASY,F,El Corral,26-Feb-06,,,,,,x
,486,BX-RB,BTBW,AHY,M,El Corral,26-Nov-05,,,,,,x
,486,BX-RB,BTBW,AHY,M,El Corral,23-Jan-06,,,,,,x
2430,14047,RW-XY,BTBW,HY,F,El Corral,25-Dec-05,,,,,,x
2430,14048,BY-BX,BTBW,AHY,M,El Corral,26-Dec-05,,,,,,x
2430,14050,YB-XR,BTBW,HY,F,El Corral,26-Dec-05,,,,,,x
2430,14124,RB-XB,BTBW,ASY,M,El Corral,25-Feb-06,,,,,,x
2250,78458,WR-WX,BTBW,SY,M,El Corral,27-Dec-05,,,,,,x
2220,95980,XR-WW,BTBW,ASY,M,El Corral,25-Feb-06,,,,,,x
,477,YW-RX,CMWA,AHY,F,El Corral,23-Nov-05,,,,,,x
,480,BW-YX,CMWA,HY,M,El Corral,24-Nov-05,,,,,,x
,481,YX-RB,CMWA,AHY,M,El Corral,24-Nov-05,,,,,,x
2430,14120,BX-BY,CMWA,ASY,F,El Corral,23-Feb-06,,,,,,x
2430,14123,BX-BW,CMWA,ASY,M,El Corral,24-Feb-06,,,,,,x
1791,50668,X-,GABU,ASY,M,El Corral,24-Dec-05,,,,,,x
1791,50735,X-,GABU,ASY,M,El Corral,25-Dec-05,,,,,,x
1791,50736,X-,GABU,ASY,M,El Corral,24-Nov-05,,,,,,x
1791,50736,X-,GABU,ASY,M,El Corral,26-Feb-06,,,,,,x
1791,50740,X-,GABU,ASY,F,El Corral,25-Feb-06,,,,,,x
1791,50819,X-,GABU,HY,,El Corral,25-Nov-05,,,,,,x
1791,50834,X-,GABU,AHY,M,El Corral,23-Dec-05,,,,,,x
1791,50835,X-,GABU,AHY,M,El Corral,25-Dec-05,,,,,,x
1791,50846,X-,GABU,HY,,El Corral,24-Jan-06,,,,,,x
1791,50847,X-,GABU,HY,,El Corral,24-Jan-06,,,,,,x
1791,50848,X-,GABU,HY,,El Corral,24-Jan-06,,,,,,x
1791,50874,X-,GABU,ASY,F,El Corral,22-Feb-06,,,,,,x
1791,50875,X-,GABU,SY,,El Corral,22-Feb-06,,,,,,x
1791,50876,X-,GABU,SY,,El Corral,23-Feb-06,,,,,,x
1791,50878,X-,GABU,SY,,El Corral,24-Feb-06,,,,,,x
1791,50880,X-,GABU,ASY,M,El Corral,24-Feb-06,,,,,,x
3A,219,XY-RB,GRWA,ASY,,El Corral,26-Jan-06,,,,,,x
3A,256,YX-BW,GRWA,SY,,El Corral,26-Dec-05,,,,,,x
3A,256,YX-BW,GRWA,ASY,,El Corral,24-Feb-06,,,,,,x
3A,263,XY-RY,GRWA,SY,,El Corral,25-Dec-05,,,,,,x
3A,263,XY-RY,GRWA,ASY,,El Corral,22-Feb-06,,,,,,x
3A,269,XB-BR,GRWA,HY,,El Corral,25-Nov-05,,,,,,x
3A,274,XR-RB,GRWA,HY,,El Corral,25-Dec-05,,,,,,x
3A,274,XR-RB,GRWA,SY,,El Corral,22-Feb-06,,,,,,x
3A,275,RY-XR,GRWA,AHY,,El Corral,26-Dec-05,,,,,,x
3A,280,YY-RX,GRWA,AHY,,El Corral,24-Jan-06,,,,,,x
3A,289,YR-XR,GRWA,SY,,El Corral,23-Feb-06,,,,,,x
3A,290,BY-BX,GRWA,SY,,El Corral,25-Feb-06,,,,,,x
3A,291,WW-WX,GRWA,SY,,El Corral,25-Feb-06,,,,,,x
8A,11,X-,HLCU,ASY,,El Corral,24-Feb-06,,,,,,x
8A,34,X-,HLCU,SY,,El Corral,23-Jan-06,,,,,,x
8A,34,X-,HLCU,ASY,,El Corral,22-Feb-06,,,,,,x
8A,42,X-,HLCU,HY,,El Corral,24-Nov-05,,,,,,x
8A,43,X-,HLCU,AHY,,El Corral,25-Nov-05,,,,,,x
8A,48,X-,HLCU,AHY,,El Corral,25-Dec-05,,,,,,x
8A,51,X-,HLCU,ASY,,El Corral,22-Feb-06,,,,,,x
8A,12,X-,KWQD,ASY,,El Corral,25-Dec-05,,,,,,x
8A,39,X-,KWQD,ASY,,El Corral,24-Feb-06,,,,,,x
8A,50,X-,KWQD,AHY,,El Corral,23-Jan-06,,,,,,x
8A,52,X-,KWQD,ASY,,El Corral,25-Feb-06,,,,,,x
1781,50373,X-,NOMO,HY,,El Corral,23-Nov-05,,,,,,x
1781,50382,X-,NOMO,HY,,El Corral,23-Dec-05,,,,,,x
1781,50388,X-,NOMO,HY,,El Corral,23-Jan-06,,,,,,x
1781,50393,X-,NOMO,ASY,,El Corral,23-Feb-06,,,,,,x
1781,50394,X-,NOMO,SY,,El Corral,23-Feb-06,,,,,,x
1771,12066,YY-BX,OVEN,AHY,,El Corral,26-Dec-05,,,,,,x
1771,12066,YY-BX,OVEN,AHY,,El Corral,25-Jan-06,,,,,,x
