# Mencia pasture succession bird captures 2007-2008 Dominican Republic,,,,,,,,,,,,,
"# Original file received from Steve Latta via email 12/2017 ""2007-08 All Captures.xls""   Files processed by Nathan Brouwer in R for re-submission of manuscript 1/15/2018   See additional file ""All Mencia B.xls"" for information on site persistance ",,,,,,,,,,,,,
# NOTE: original file contains occasinal spaces between chunks of records;  appears to be by species,,,,,,,,,,,,,
"# NOTE: file does not contain morphometric or condition data (pec, etc)",,,,,,,,,,,,,
"#Original comment: ""New birds and recaps captured in 2007-08  -- but all within session recaps omitted""  This information is likely in the ""All Mencia B.xls"" file that contains information on site persistance",,,,,,,,,,,,,
BAND PRE,BAND SUF,COLORS,SPECIES,AGE,SEX,SITE,DATE,WING,TARSUS,MASS,FAT,PEC,NOTES
2430,14456,X-,BAWW,HY,F,El Corral  ,21-Nov-07,,,,,,
2430,14456,X-,BAWW,HY,F,El Corral A,21-Jan-08,,,,,,
4A,417,WX-GR,BCPT,AHY,,El Corral A,20-Nov-07,,,,,,
4A,419,RR-GX,BCPT,AHY,,El Corral,18-Jan-08,,,,,,
4A,445,X-,BCPT,HY,,El Corral A,20-Nov-07,,,,,,
4A,446,X-,BCPT,AHY,,El Corral A,21-Nov-07,,,,,,
2430,14218,WX-YW,BTBW,AHY,M,El Corral A,20-Nov-07,,,,,,
2430,14453,X-,BTBW,AHY,F,El Corral A,20-Nov-07,,,,,,
2430,14454,X-,BTBW,AHY,F,El Corral A,20-Nov-07,,,,,,
2430,14455,X-,BTBW,AHY,M,El Corral A,20-Nov-07,,,,,,
2430,14497,X-,BTBW,HY,F,El Corral,18-Jan-08,,,,,,
1761,5629,X-,GABU,AHY,F,El Corral A,19-Nov-07,,,,,,
1761,5630,X-,GABU,HY,M,El Corral,20-Nov-07,,,,,,
1761,5631,X-,GABU,HY,F,El Corral A,21-Nov-07,,,,,,
1791,50835,X-,GABU,AHY,M,El Corral,20-Nov-07,,,,,,
3A,275,RY-XR,GRWA,AHY,,El Corral A,19-Jan-08,,,,,,
8A,80,X-,HLCU,AHY,,El Corral,17-Jan-08,,,,,,
8A,12,X-,KWQD,AHY,,El Corral,17-Jan-08,,,,,,
8A,73,X-,KWQD,AHY,,El Corral A,21-Nov-07,,,,,,
8A,81,X-,KWQD,AHY,,El Corral,18-Jan-08,,,,,,
1781,50155,X-,NOMO,HY,,El Corral,19-Jan-08,,,,,,
1781,50156,X-,NOMO,AHY,,El Corral A,20-Jan-08,,,,,,
1781,50157,X-,NOMO,AHY,,El Corral A,20-Jan-08,,,,,,
1771,12110,RX-RB,OVEN,AHY,,El Corral  ,17-Jan-08,,,,,,
1771,12321,BW-BX,OVEN,AHY,,El Corral  ,17-Jan-08,,,,,,
1771,12353,RB-WX,OVEN,AHY,,El Corral A,19-Nov-07,,,,,,
1771,12353,RB-WX,OVEN,AHY,,El Corral A,20-Jan-08,,,,,,
1771,12374,GX-YY,OVEN,AHY,,El Corral A,20-Jan-08,,,,,,
1771,12443,X-,OVEN,AHY,,El Corral,19-Nov-07,,,,,,
1771,12443,X-,OVEN,AHY,,El Corral  ,17-Jan-08,,,,,,
1771,12444,X-,OVEN,HY,,El Corral A,19-Nov-07,,,,,,
1771,12445,X-,OVEN,AHY,,El Corral A,20-Nov-07,,,,,,
1771,12446,X-,OVEN,AHY,,El Corral A,21-Nov-07,,,,,,
1771,12447,X-,OVEN,AHY,,El Corral A,21-Nov-07,,,,,,
1771,12454,X-,OVEN,HY,,El Corral A,21-Jan-08,,,,,,
1202,29760,X-,RLTH,AHY,,El Corral A,19-Nov-07,,,,,,
1202,29761,X-,RLTH,AHY,,El Corral,20-Nov-07,,,,,,
2430,14452,X-,YFGR,HY,M,El Corral A,20-Nov-07,,,,,,
2430,14496,X-,YFGR,AHY,M,El Corral,17-Jan-08,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2240,21522,WX-YB,AMRE,AHY,F,La Caoba A,15-Nov-07,,,,,,
2240,21967,RX-YR,AMRE,AHY,F,La Caoba A,13-Jan-08,,,,,,
2240,21983,X-,AMRE,AHY,F,La Caoba,11-Nov-07,,,,,,
2240,21984,X-,AMRE,AHY,M,La Caoba,12-Nov-07,,,,,,
2240,21986,X-,AMRE,HY,F,La Caoba A,13-Nov-07,,,,,,
2240,21987,X-,AMRE,AHY,F,La Caoba A,14-Nov-07,,,,,,
2240,21988,X-,AMRE,AHY,M,La Caoba A,14-Nov-07,,,,,,
2240,21994,X-,AMRE,AHY,F,La Caoba,9-Jan-08,,,,,,
2240,21995,X-,AMRE,HY,F,La Caoba,10-Jan-08,,,,,,
4A,448,X-,ANPI,AHY,F,La Caoba A,11-Jan-08,,,,,,
2430,14310,X-,BANA,AHY,,La Caoba,12-Nov-07,,,,,,
2430,14384,X-,BANA,HY,,La Caoba A,13-Nov-07,,,,,,
2430,14388,X-,BANA,AHY,,La Caoba A,14-Nov-07,,,,,,
2430,14404,X-,BANA,HY,,La Caoba,12-Nov-07,,,,,,
2430,14413,X-,BANA,HY,,La Caoba A,13-Nov-07,,,,,,
2430,14426,X-,BANA,AHY,,La Caoba A,14-Nov-07,,,,,,
2430,14484,X-,BANA,AHY,,La Caoba A,12-Jan-08,,,,,,
2430,14419,X-,BAWW,HY,F,La Caoba A,13-Nov-07,,,,,,
2430,14477,X-,BAWW,AHY,F,La Caoba,11-Jan-08,,,,,,
4A,249,BR-XY,BCPT,AHY,,La Caoba,11-Jan-08,,,,,,
4A,269,WX-YY,BCPT,AHY,,La Caoba,11-Jan-08,,,,,,
4A,286,XR-WR,BCPT,AHY,,La Caoba A,15-Nov-07,,,,,,
4A,403,BW-XP,BCPT,AHY,,La Caoba,13-Nov-07,,,,,,
4A,405,RG-BX,BCPT,AHY,,La Caoba A,13-Nov-07,,,,,,
4A,432,X-,BCPT,HY,,La Caoba,11-Nov-07,,,,,,
4A,435,X-,BCPT,HY,,La Caoba,13-Nov-07,,,,,,
