"site","band.pre","band.suf","colors","species","age","sex","date","wing","tarsus","mass","wanderer","recap.2003.nov","resight.2003.nov","recap.2004.jan","resight.2004.jan","recap.2004.feb","resight.2004.feb","recap.2004.nov","resight.2004.nov","recap.2005.jan","resight.2005.jan","recap.2005.feb","resight.2005.feb","recap.2005.nov","resight.2005.nov","recap.2006.jan","resight.2006.jan","recap.2006.feb","resight.2006.feb","recap.2006.nov","resight.2006.nov","recap.2007.jan","resight.2007.jan","recap.2007.feb","resight.2007.feb","recap.2007.nov","resight.2007.nov","recap.2008.jan","resight.2008.jan","date2","year","month","day","notes","year.num","site.age.init","site.age","band","status"
"El Corral","2240","21554","XR-YB","AMRE","AHY","F","10-Jan-04",59.5,17.5,7.4,"W","n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-01-10,"2004",1,10,NA,2004,20,21,"2240-21554","mig"
"El Corral","2240","21565","XY-YY","AMRE","AHY",NA,"26-Feb-04",61,15.9,7.4,NA,"n/a","n/a","n/a","n/a",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-02-26,"2004",2,26,NA,2004,20,21,"2240-21565","mig"
"El Corral","2240","21816","XY-YW","AMRE","HY",NA,"20-Nov-04",62,16.9,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-20,"2004",11,20,NA,2004,20,21,"2240-21816","mig"
"El Corral","2240","21821","XW-BY","AMRE","AHY","M","24-Nov-04",61.5,15.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",2004-11-24,"2004",11,24,NA,2004,20,21,"2240-21821","mig"
"El Corral","2240","21841","RY-XR","AMRE","AHY","F","17-Jan-05",59,17.1,7.5,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-17,"2005",1,17,NA,2005,20,22,"2240-21841","mig"
"El Corral","2240","21842","WX-BW","AMRE","AHY","F","18-Jan-05",59,16.7,7.1,"W",NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-18,"2005",1,18,NA,2005,20,22,"2240-21842","mig"
"El Corral","2240","21843","WX-BY","AMRE","HY",NA,"20-Jan-05",58.5,17.4,6.9,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-20,"2005",1,20,NA,2005,20,22,"2240-21843","mig"
"El Corral","2240","21844","YX-BY","AMRE","HY","M","20-Jan-05",61,16.8,7.2,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-20,"2005",1,20,NA,2005,20,22,"2240-21844","mig"
"El Corral","2240","21845","XW-BR","AMRE","AHY","F","21-Jan-05",58.5,15.7,6.5,"W",NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-21,"2005",1,21,NA,2005,20,22,"2240-21845","mig"
"El Corral","2240","21865","RX-BR","AMRE","HY","M","16-Feb-05",60,16.5,7,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a","n/a","n/a",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-02-16,"2005",2,16,NA,2005,20,22,"2240-21865","mig"
"El Corral","2240","21866","RW-XR","AMRE","HY",NA,"17-Feb-05",57.5,16.3,6.6,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a","n/a","n/a",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-02-17,"2005",2,17,NA,2005,20,22,"2240-21866","mig"
"El Corral","2240","21869","XY-WR","AMRE","AHY","F","19-Feb-05",60,17,7.3,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a","n/a","n/a",NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-02-19,"2005",2,19,NA,2005,20,22,"2240-21869","mig"
"El Corral","2240","21896","YR-XR","AMRE","AHY","F","25-Nov-05",61,17.1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-11-25,"2005",11,25,NA,2005,20,22,"2240-21896","mig"
"El Corral","2240","21906","XB-RB","AMRE","AHY","M","26-Dec-05",63,17,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"X",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-12-26,"2005",12,26,NA,2005,20,22,"2240-21906","mig"
"El Corral","2240","21944","YX-WY","AMRE","HY","F","3-Dec-06",59,17.2,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA,NA,"X",2006-12-03,"2006",12,3,NA,2006,20,23,"2240-21944","mig"
"El Corral","2240","21955","YW-XR","AMRE","AHY","F","21-Jan-07",57,17.1,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"X",NA,"X",NA,NA,NA,NA,2007-01-21,"2007",1,21,NA,2007,20,24,"2240-21955","mig"
"El Corral","2240","21956","BR-XR","AMRE","AHY","F","22-Jan-07",57.5,17.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,"X",NA,NA,NA,NA,2007-01-22,"2007",1,22,NA,2007,20,24,"2240-21956","mig"
"El Corral","2240","21957","XW-WR","AMRE","HY","M","23-Jan-07",61,16.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"X",NA,"X",NA,NA,NA,NA,2007-01-23,"2007",1,23,NA,2007,20,24,"2240-21957","mig"
"El Corral","4A","296","R-X","ANPI","AHY","F","18-Jan-05",71,18,27.8,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-18,"2005",1,18,NA,2005,20,22,"4A-296",NA
"El Corral","2280","33223","X-","BANA","AHY",NA,"10-Jan-04",50.5,15.6,7.7,NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-01-10,"2004",1,10,NA,2004,20,21,"2280-33223","res"
"El Corral","2280","33224","X-","BANA","HY",NA,"10-Jan-04",54,16.4,7.4,NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-01-10,"2004",1,10,NA,2004,20,21,"2280-33224","res"
"El Corral","2250","78446","X-","BANA","AHY",NA,"20-Nov-04",57,16.3,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-20,"2004",11,20,NA,2004,20,21,"2250-78446","res"
"El Corral","2250","78450","X-","BANA","AHY",NA,"21-Nov-04",56,16.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-21,"2004",11,21,NA,2004,20,21,"2250-78450","res"
"El Corral","2250","78453","X-","BANA","HY",NA,"22-Nov-04",51.5,15.4,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-22,"2004",11,22,NA,2004,20,21,"2250-78453","res"
