"spp.code","site","bnd.pre","bnd.suf","col","ag","sx","date","wng","tar","mass","wndr","rc.03.N","rs.03.N","rc.04.J","rs.04.J","rc.04.F","rs.04.F","rc.04.N","rs.04.N","rc.05.J","rs.05.J","rc.05.F","rs.05.F","rc.05.N","rs.05.N","rc.06.J","rs.06.J","rc.06.F","rs.06.F","rc.06.N","rs.06.N","rc.07.J","rs.07.J","rc.07.F","rs.07.F","rc.07.N","rs.07.N","rc.08.J","rs.08.J","date.cap.orig","yr","mo","day","nts","yr.num","site.ag.init","site.ag","bnd","stat.focals","num.rc.rs","persist","spp","stat","hab1","diet"
"AMKE","Morelia","6A","23","X-","AHY","M","25-Feb-07",175,38.3,91.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bf","bf","bf","bf",NA,NA,NA,NA,NA,NA,2007-02-25,"2007",2,25,NA,2007,10,14,"6A-23",NA,0,"NP","American Kestrel","R","SF","C"
"AMKE","La Cueva","6A","22","X-","AHY","F","9-Jan-07",185.5,38.5,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bf","bf",NA,NA,NA,NA,NA,NA,NA,NA,2007-01-09,"2007",1,9,NA,2007,2,6,"6A-22",NA,0,"NP","American Kestrel","R","SF","C"
"AMRE","El Corral","2240","21565","XY-YY","AHY",NA,"26-Feb-04",61,15.9,7.4,NA,"bf","bf","bf","bf",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-02-26,"2004",2,26,NA,2004,20,21,"2240-21565","mig",1,"P","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21816","XY-YW","HY",NA,"20-Nov-04",62,16.9,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-20,"2004",11,20,NA,2004,20,21,"2240-21816","mig",3,"P","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21821","XW-BY","AHY","M","24-Nov-04",61.5,15.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",2004-11-24,"2004",11,24,NA,2004,20,21,"2240-21821","mig",2,"P","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21554","XR-YB","AHY","F","10-Jan-04",59.5,17.5,7.4,"W","bf","bf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-01-10,"2004",1,10,NA,2004,20,21,"2240-21554","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21842","WX-BW","AHY","F","18-Jan-05",59,16.7,7.1,"W",NA,NA,NA,NA,NA,NA,"bf","bf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-18,"2005",1,18,NA,2005,20,22,"2240-21842","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21843","WX-BY","HY",NA,"20-Jan-05",58.5,17.4,6.9,NA,NA,NA,NA,NA,NA,NA,"bf","bf",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-20,"2005",1,20,NA,2005,20,22,"2240-21843","mig",1,"P","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21844","YX-BY","HY","M","20-Jan-05",61,16.8,7.2,NA,NA,NA,NA,NA,NA,NA,"bf","bf",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-20,"2005",1,20,NA,2005,20,22,"2240-21844","mig",1,"P","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21845","XW-BR","AHY","F","21-Jan-05",58.5,15.7,6.5,"W",NA,NA,NA,NA,NA,NA,"bf","bf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-21,"2005",1,21,NA,2005,20,22,"2240-21845","mig",0,"NP","American Redstart","M","EF","I"
