site,year,nets,net.hours,sessions,Nov.nets,Dec.Jan.net,Jan.nets,Feb.nets,Nov.hrs,Dec.Jan.hrs,Jan.hrs,Feb.hrs,notes
La Cueva,2003-2004,51,859.4,3,17,,17,17,278.8,,291.6,289,2 arrays pooled
La Cueva,2004-2005,102,1728.4,3,34,,34,34,552.5,,558.3,617.6,2 arrays pooled
La Cueva,2005-2006,136,2276.6,3,34,68,,34,614.9,1120.6,,541.1,2 arrays pooled
La Cueva,2006-2007,102,1692.9,3,34,,34,34,556.8,,575.1,561,2 arrays pooled
La Cueva,2007-2008,0,1054.2,2,,,,,558.3,,495.9,,2 arrays pooled
La Caoba,2003-2004,51,815.2,3,17,,17,17,263.5,,275.4,276.3,2 arrays pooled
La Caoba,2004-2005,102,1684.2,3,34,,34,34,551,,555.2,578,2 arrays pooled
La Caoba,2005-2006,136,2232.6,3,34,68,,34,595,1062.5,,575.1,2 arrays pooled
La Caoba,2006-2007,102,1566.7,3,34,,34,34,493,,559.5,514.2,2 arrays pooled
La Caoba,2007-2008,68,994.4,2,34,,34,,534,,460.4,,2 arrays pooled
Morelia,2003-2004,51,789.8,3,17,,17,17,264.4,,261,264.4,2 arrays pooled
Morelia,2004-2005,102,1838.9,3,34,,34,34,552.5,,704.2,582.2,2 arrays pooled
Morelia,2005-2006,136,2226.9,3,34,68,,34,546.7,1120.6,,559.6,2 arrays pooled
Morelia,2006-2007,102,1613.7,3,34,,34,34,522.8,,529.9,561,2 arrays pooled
Morelia,2007-2008,68,1083.7,2,34,,34,,565.2,,518.5,,2 arrays pooled
El Corral,2003-2004,51,779.4,3,17,,17,17,239.7,,260.1,279.6,2 arrays pooled
El Corral,2004-2005,102,1609.3,3,34,,34,34,514.2,,542.6,552.5,2 arrays pooled
El Corral,2005-2006,136,2234,3,34,68,,34,552.5,1107.7,,573.8,2 arrays pooled
El Corral,2006-2007,102,1622.1,3,34,,34,34,551.1,,532.8,538.2,2 arrays pooled
El Corral,2007-2008,68,701.2,2,34,,34,,218.1,,483.1,,2 arrays pooled
Aceitillar,1996-1997,NA,3768.2,3,,,66,,1268.5,,1204,1295.7,2 sites  or arrays pooled for each session  total nets only found for Jan
Aceitillar,1997-1998,NA,3742.7,3,,,66,,1177,,1218,1347.7,2 sites  or arrays pooled for each session  total nets only found for Jan
Aceitillar,1998-1999,66,1284.5,1,,,66,,,,1284.5,,2 sites  or arrays pooled   only 1 session
Aceitillar,1999-2000,66,1289.5,1,,,66,,,,1289.5,,2 sites  or arrays pooled   only 1 session
Aceitillar,2000-2001,66,1234,1,,,66,,,,1234,,2 sites  or arrays pooled   only 1 session
Aceitillar,2001-2002,66,1191,1,,,66,,,,1191,,2 sites  or arrays pooled   only 1 session
