"spp.code","La.Cueva_P","La.Caoba_P","Morelia_P","El.Corral_P","Aceitillar_P"
"OVEN","0.62 (53)","0.62 (55)","0.53 (98)","0.58 (72)",0.57
"BAWW","0.57 (7)","0.8 (5)","0.92 (12)","0.78 (18)",0.49
"COYE","0.47 (15)","0.72 (71)","0.48 (21)","NaN (0)",0
"AMRE","0.59 (41)","0.44 (32)","0.43 (23)","0.83 (18)",0.24
"CMWA","0.45 (82)","0.29 (144)","0.43 (37)","0.27 (15)",0.28
"BTBW","0.41 (44)","0.32 (38)","0.73 (48)","0.57 (44)",0.39
"PAWA","0.4 (20)","0.25 (12)","0 (3)","0.33 (3)",0
"PRAW","0.68 (25)","0.61 (28)","0.7 (10)","1 (1)",0.33
"HILC","0.45 (11)","0.4 (10)","0.23 (13)","0.2 (20)",0.11
"STOF","0.56 (18)","0.67 (9)","0.38 (21)","0.44 (16)",0.35
"RLTH","0.21 (42)","0.1 (41)","0.17 (18)","0.13 (15)",0.08
"NOMO","0.33 (24)","0.42 (31)","0.11 (18)","0.06 (16)",0
"GTGT","0.64 (28)","0.68 (37)","0.69 (13)","0.8 (30)",0.58
"BANA","0.12 (113)","0.08 (77)","0.08 (48)","0.14 (22)",0.07
"BCPT","0.57 (54)","0.47 (38)","0.57 (44)","0.7 (47)",0.33
"YFGR","0.27 (150)","0.22 (97)","0.04 (57)","0.12 (52)",0
"BFGR","0.08 (24)","0.21 (33)","0 (12)","0.25 (8)",0
"GABU","0.43 (74)","0.39 (82)","0.3 (67)","0.19 (43)",0.15
